HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	LIBRARY_LAYOUT	SEQUENCING_PLATFORM	WORKFLOW_VERSION	GENOMIC_REFERENCE	SOMATIC_VARIANTS_SAMPLE_TYPE	MSI_STATUS	LIBRARY_PREPARATION_DAYS_FROM_INDEX	SEQUENCING_BATCH_ID	MSI_SCORE	CHECKSUM	GENOMIC_REFERENCE_URL	PROTOCOL_LINK	WORKFLOW_LINK	SOMATIC_VARIANTS_WORKFLOW_TYPE	SOMATIC_VARIANTS_WORKFLOW_URL	GERMLINE_VARIANTS_WORKFLOW_TYPE	GERMLINE_VARIANTS_WORKFLOW_URL	STRUCTURAL_VARIANT_WORKFLOW_TYPE	STRUCTURAL_VARIANT_WORKFLOW_URL	MSI_WORKFLOW_LINK	GENOME_ANNOTATION_URL	TECHNICAL_REPLICATE_GROUP
HTA200_1001_D1	HTA200_1001_B1	sample001.vcf.gz	VCF.GZ	Paired end	Illumina	1.0	GRCh38	Primary tumor	Microsatellite stable	7	BATCH001	0.05	abc123def456	https://example.org/ref/grch38	https://example.org/protocol1	https://dockstore.org/workflow1	Mutect2	https://example.org/somatic1	GATK HaplotypeCaller	https://example.org/germline1	Manta	https://example.org/structural1	https://example.org/msi1	https://example.org/annotation1	REP001
HTA200_1002_D2	HTA200_1002_B2	sample002.vcf	VCF	PE	ILLUMINA	2.0	hg38	Met	MSI-High	14	BATCH002	12.5	def789ghi012	https://example.org/ref/hg38	https://example.org/protocol2	https://dockstore.org/workflow2	MuTect	https://example.org/somatic2	HaplotypeCaller	https://example.org/germline2	SvABA	https://example.org/structural2	https://example.org/msi2	https://example.org/annotation2	REP002
HTA201_2001_D3	HTA201_2001_B3	sample003.vcf.gz	vcf.gz	Paired	Illumina HiSeq	1.5	GRCh37	Normal tissue	MSI-Low	21	BATCH003	2.3	ghi345jkl678	https://example.org/ref/grch37	https://example.org/protocol3	https://dockstore.org/workflow3	Mutect	https://example.org/somatic3	GATK	https://example.org/germline3	DELLY	https://example.org/structural3	https://example.org/msi3	https://example.org/annotation3	REP003
HTA201_2002_D4	HTA201_2002_B4	sample004.vcf	vcf	Single	NovaSeq	2.1	hg19	Recurrent tumor	MSI	28	BATCH004	8.7	jkl901mno234	https://example.org/ref/hg19	https://example.org/protocol4	https://dockstore.org/workflow4	Somatic Sniper	https://example.org/somatic4	Germline caller	https://example.org/germline4	Structural variant caller	https://example.org/structural4	https://example.org/msi4	https://example.org/annotation4	REP004
HTA202_3001_D5	HTA202_3001_B5	sample005.vcf.gz	vcf.gz	Paired-End	PacBio	1.2	GRCh38	Primary cancer	Microsatellite instability high	35	BATCH005	15.2	mno567pqr890	https://example.org/ref/grch38	https://example.org/protocol5	https://dockstore.org/workflow5	Strelka	https://example.org/somatic5	FreeBayes	https://example.org/germline5	Lumpy	https://example.org/structural5	https://example.org/msi5	https://example.org/annotation5	REP005
HTA202_3002_D6	HTA202_3002_B6	sample006.vcf	vcf	single-end	Nanopore	1.8	GRCh38	Metastatic tumor	MSS (microsatellite stable)	42	BATCH006	0.12	pqr123stu456	https://example.org/ref/grch38	https://example.org/protocol6	https://dockstore.org/workflow6	VarScan	https://example.org/somatic6	Platypus	https://example.org/germline6	BreakDancer	https://example.org/structural6	https://example.org/msi6	https://example.org/annotation6	REP006
HTA203_4001_D7	HTA203_4001_B7	sample007.vcf.gz	vcf.gz	Paired End Sequencing	Ion Torrent	2.2	hg38	Normal	Not known	49	BATCH007	1.8	stu789vwx012	https://example.org/ref/hg38	https://example.org/protocol7	https://dockstore.org/workflow7	Mutect 2	https://example.org/somatic7	GATK4	https://example.org/germline7	CNVkit	https://example.org/structural7	https://example.org/msi7	https://example.org/annotation7	REP007
HTA203_4002_D8	HTA203_4002_B8	sample008.vcf	vcf	paired	454	1.0	GRCh37	Primary disease	Stable	56	BATCH008	0.45	vwx345yza678	https://example.org/ref/grch37	https://example.org/protocol8	https://dockstore.org/workflow8	SomaticSniper	https://example.org/somatic8	Samtools	https://example.org/germline8	Pindel	https://example.org/structural8	https://example.org/msi8	https://example.org/annotation8	REP008
HTA204_5001_D9	HTA204_5001_B9	sample009.vcf.gz	vcf.gz	PE sequencing	BGI	2.5	GRCh38	Recurrence	MSI-L (low)	63	BATCH009	3.1	yza901bcd234	https://example.org/ref/grch38	https://example.org/protocol9	https://dockstore.org/workflow9	Lancet	https://example.org/somatic9	DeepVariant	https://example.org/germline9	Wham	https://example.org/structural9	https://example.org/msi9	https://example.org/annotation9	REP009
HTA204_5002_D10	HTA204_5002_B10	sample010.vcf	vcf	Paired-read	Complete Genomics	1.3	hg19	Mets	High MSI	70	BATCH010	18.9	bcd567efg890	https://example.org/ref/hg19	https://example.org/protocol10	https://dockstore.org/workflow10	LoFreq	https://example.org/somatic10	Octopus	https://example.org/germline10	GRIDSS	https://example.org/structural10	https://example.org/msi10	https://example.org/annotation10	REP010
HTA205_6001_D11	HTA205_6001_B11	sample011.vcf.gz	vcf.gz	Single read	Solid	2.0	GRCh38	Normal control	Unknown status	77	BATCH011	1.2	efg123hij456	https://example.org/ref/grch38	https://example.org/protocol11	https://dockstore.org/workflow11	TNscope	https://example.org/somatic11	Sentieon	https://example.org/germline11	Smoove	https://example.org/structural11	https://example.org/msi11	https://example.org/annotation11	REP011
HTA205_6002_D12	HTA205_6002_B12	sample012.vcf	vcf	Paired-end reads	Helicos	1.7	GRCh37	Primary site	MSI-H (high)	84	BATCH012	22.4	hij789klm012	https://example.org/ref/grch37	https://example.org/protocol12	https://dockstore.org/workflow12	Shimmer	https://example.org/somatic12	Strelka2	https://example.org/germline12	Facets	https://example.org/structural12	https://example.org/msi12	https://example.org/annotation12	REP012
HTA206_7001_D13	HTA206_7001_B13	sample013.vcf.gz	vcf.gz	Single-read	Capillary sequencing	2.3	hg38	Metastasis	Microsatellite stable (MSS)	91	BATCH013	0.08	klm345nop678	https://example.org/ref/hg38	https://example.org/protocol13	https://dockstore.org/workflow13	Vardict	https://example.org/somatic13	Freebayes	https://example.org/germline13	Meerkat	https://example.org/structural13	https://example.org/msi13	https://example.org/annotation13	REP013
HTA206_7002_D14	HTA206_7002_B14	sample014.vcf	vcf	Paired-end library	PacBio SMRT	1.9	GRCh38	Recurrent disease	N/A	98	BATCH014	0.92	nop901qrs234	https://example.org/ref/grch38	https://example.org/protocol14	https://dockstore.org/workflow14	MuSE	https://example.org/somatic14	Longshot	https://example.org/germline14	Sniffles	https://example.org/structural14	https://example.org/msi14	https://example.org/annotation14	REP014
HTA207_8001_D15	HTA207_8001_B15	sample015.vcf.gz	vcf.gz	Double-end	Oxford Nanopore	2.4	GRCh37	Normal adjacent	Indeterminate	105	BATCH015	1.5	qrs567tuv890	https://example.org/ref/grch37	https://example.org/protocol15	https://dockstore.org/workflow15	CaVEMan	https://example.org/somatic15	Clair	https://example.org/germline15	NanoSV	https://example.org/structural15	https://example.org/msi15	https://example.org/annotation15	REP015
HTA207_8002_D16	HTA207_8002_B16	sample016.vcf	vcf	Paired sequencing	IonTorrent	1.4	hg19	Primary neoplasm	Low MSI	112	BATCH016	2.9	tuv123wxy456	https://example.org/ref/hg19	https://example.org/protocol16	https://dockstore.org/workflow16	Pindel	https://example.org/somatic16	PEPPER	https://example.org/germline16	Tardis	https://example.org/structural16	https://example.org/msi16	https://example.org/annotation16	REP016
HTA208_9001_D17	HTA208_9001_B17	sample017.vcf.gz	vcf.gz	Paired-end DNA	454 sequencing	2.6	GRCh38	Met site	Microsatellite instability	119	BATCH017	9.3	wxy789zab012	https://example.org/ref/grch38	https://example.org/protocol17	https://dockstore.org/workflow17	Scalpel	https://example.org/somatic17	Medaka	https://example.org/germline17	SURVIVOR	https://example.org/structural17	https://example.org/msi17	https://example.org/annotation17	REP017
HTA208_9002_D18	HTA208_9002_B18	sample018.vcf	vcf	Single strand	BGISEQ-500	1.1	GRCh38	Normal sample	MSI negative	126	BATCH018	0.23	zab345cde678	https://example.org/ref/grch38	https://example.org/protocol18	https://dockstore.org/workflow18	Virmid	https://example.org/somatic18	Clairvoyante	https://example.org/germline18	BRASS	https://example.org/structural18	https://example.org/msi18	https://example.org/annotation18	REP018
HTA209_10001_D19	HTA209_10001_B19	sample019.vcf.gz	vcf.gz	Paired end library	CG	2.7	hg38	Primary lesion	Unstable	133	BATCH019	14.6	cde901fgh234	https://example.org/ref/hg38	https://example.org/protocol19	https://dockstore.org/workflow19	Bambam	https://example.org/somatic19	Nanopolish	https://example.org/germline19	Socrates	https://example.org/structural19	https://example.org/msi19	https://example.org/annotation19	REP019
HTA209_10002_D20	HTA209_10002_B20	sample020.vcf	vcf	Single-end library	ONT	1.6	GRCh37	Recurrent cancer	Not determined	140	BATCH020	0.67	fgh567ijk890	https://example.org/ref/grch37	https://example.org/protocol20	https://dockstore.org/workflow20	Platypus	https://example.org/somatic20	WhatsHap	https://example.org/germline20	Delly2	https://example.org/structural20	https://example.org/msi20	https://example.org/annotation20	REP020
