HTAN_DATA_FILE_ID	HTAN_PARENT_ID	FILENAME	FILE_FORMAT	IMAGING_ASSAY_TYPE	STAINING_METHOD	CHANNEL_METADATA_ID	EXPERIMENTAL_STRATEGY_AND_DATA_SUBTYPES	DE_IDENTIFICATION_METHOD_TYPE	DE_IDENTIFICATION_METHOD_DESCRIPTION	DE_IDENTIFIED	HAS_SLIDE_LABEL	SLIDE_LABEL_REDACTED	LICENSE	IMAGE_MODALITY	IMAGING_EQUIPMENT_MANUFACTURER	IMAGING_EQUIPMENT_MODEL	CITATION_OR_DOI	IMAGING_PROTOCOL	IMAGING_SOFTWARE	IMMERSION	OBJECTIVE	NOMINAL_MAGNIFICATION	LENS_NUMERICAL_APERTURE	WORKING_DISTANCE	PHYSICAL_SIZE_X	PHYSICAL_SIZE_Y	PHYSICAL_SIZE_Z	SIZE_X	SIZE_Y	SIZE_Z	SIZE_C	SIZE_T	PASSED_QC	QC_COMMENT	SPECIES	DE_IDENTIFICATION_SOFTWARE
HTA200_1_D1	HTA200_1_B1	image001.ome.tif	ome-tiff	CyCIF	CyCIF	syn12345678	Pathological	Automatic	PHI removed using automated pipeline	true	true	true	CC BY 4.0	SM	Zeiss	Axio Scan.Z1	https://doi.org/10.1234/example1	https://protocols.io/view/example1	ZEN Software	Oil	Plan-Apochromat 20x/0.8	20	0.8	0.55 um	0.325	0.325	1.0	10000	10000	1	10	1	true	All channels passed quality checks	9606 (Homo sapiens)	DeID Tool v1.0
HTA201_2_D2	HTA201_2_B2	image002.ome.tiff	ome-tiff	t-CyCIF	t-CyCIF	syn23456789	Pathological	Automatic	Automatic de-identification applied	true	false		CC BY 4.0	SM	Leica	DMi8	https://doi.org/10.1234/example2	https://protocols.io/view/example2	LAS X	Oil	HC PL APO 40x/1.30	40	1.3	0.24 um	0.163	0.163	0.5	15000	15000	1	15	1	true	Good quality	9606 (Homo sapiens)	AutoDeID v2.1
HTA202_3_D3	HTA202_3_B3	image003.ome.tf2	ome-tiff	MxIF	MxIF	syn34567890	Pathological	Semiautomatic	Manual review after automatic processing	true	true	true	CC BY 4.0	SM	Nikon	Ti2-E	https://doi.org/10.1234/example3	https://protocols.io/view/example3	NIS-Elements	Oil	CFI Plan Apo Lambda 60x/1.40	60	1.4	0.13 um	0.108	0.108	0.3	20000	20000	1	20	1	true	Excellent quality	9606 (Homo sapiens)	DeIdentify Pro
HTA203_4_D4	HTA203_4_B4	image004.ome.tf8	ome-tiff	mIHC	mIHC	syn45678901	Pathological	Semiautomatic	Semi-automatic de-identification process	true	false		CC BY 4.0	SM	Olympus	BX53	https://doi.org/10.1234/example4	https://protocols.io/view/example4	cellSens	Oil	UPLSAPO 100x/1.40	100	1.4	0.12 um	0.065	0.065	0.2	25000	25000	1	25	1	true	Passed all QC metrics	9606 (Homo sapiens)	PHI Remover
HTA204_5_D5	HTA204_5_B5	image005.ome.btf	ome-tiff	H&E	H&E	syn56789012	Pathological	Manual	Manual de-identification by trained staff	true	true	true	CC BY 4.0	SM	Hamamatsu	NanoZoomer S60	https://doi.org/10.1234/example5	https://protocols.io/view/example5	NDP.scan	Air	Plan Fluor 20x/0.75	20	0.75	0.60 um	0.230	0.230	1.0	12000	12000	1	3	1	true	No issues detected	9606 (Homo sapiens)	Manual DeID Tool
HTA205_6_D6	HTA205_6_B6	image006.tif	tiff	IHC	IHC	syn67890123	Pathological	Automatic	Automated scrubbing of identifiers	true	false		CC BY 4.0	SM	Zeiss	LSM 880	https://doi.org/10.1234/example6	https://protocols.io/view/example6	ZEN Black	Oil	Plan-Apochromat 63x/1.40	63	1.4	0.10 um	0.104	0.104	0.25	18000	18000	1	4	1	true	Quality verified	9606 (Homo sapiens)	AutoScrub v3.0
HTA206_7_D7	HTA206_7_B7	image007.tiff	tiff	IMC	IMC	syn78901234	Pathological	Semiautomatic	Semiautomatic method with manual verification	true	true	true	CC BY 4.0	SM	Fluidigm	Hyperion	https://doi.org/10.1234/example7	https://protocols.io/view/example7	MCD Viewer	Air	Standard Lens	20	0.5	1.00 um	1.0	1.0	1.0	8000	8000	1	35	1	true	All markers visible	9606 (Homo sapiens)	DeID Suite
HTA207_8_D8	HTA207_8_B8	image008.qptiff	qptiff	MIBI	MIBI	syn89012345	Pathological	Manual	Manual redaction of PHI	true	false		CC BY 4.0	SM	IonPath	MIBIscope	https://doi.org/10.1234/example8	https://protocols.io/view/example8	MIBItracker	Air	Custom Objective	40	0.8	0.30 um	0.5	0.5	1.0	9000	9000	1	30	1	true	Acceptable quality	9606 (Homo sapiens)	Manual Redaction Tool
HTA208_9_D9	HTA208_9_B9	image009.svs	svs	CODEX	CODEX	syn90123456	Pathological	Automatic	Automatic de-identification pipeline	true	true	true	CC BY 4.0	SM	Akoya	CODEX Instrument	https://doi.org/10.1234/example9	https://protocols.io/view/example9	CODEX Processor	Air	Objective Lens 20x	20	0.75	0.50 um	0.377	0.377	1.5	11000	11000	1	40	1	true	High quality imaging	9606 (Homo sapiens)	DeID Pipeline v1.5
HTA209_10_D10	HTA209_10_B10	image010.ome.tif	ome-tiff	GeoMX-DSP	GeoMX-DSP	syn01234567	Pathological	Semiautomatic	Semiautomatic de-identification	true	false		CC BY 4.0	SM	NanoString	GeoMx DSP	https://doi.org/10.1234/example10	https://protocols.io/view/example10	GeoMx Software	Air	Standard 20x	20	0.7	0.55 um	0.325	0.325	1.0	10000	10000	1	12	1	true	Quality control passed	9606 (Homo sapiens)	SemiAuto DeID
